,power
,apparent
1640995200,0
1640995201,0
1640995202,0
1640995203,0
1640995204,0
1640995205,0
1640995206,0
1640995207,0
1640995208,0
1640995209,0
1640995210,0
1640995211,0
1640995212,0
1640995213,0
1640995214,0
1640995215,0
1640995216,0
1640995217,0
1640995218,0
1640995219,0
1640995220,0
1640995221,0
1640995222,0
1640995223,0
1640995224,0
1640995225,0
1640995226,0
1640995227,0
1640995228,0
1640995229,0
1640995230,0
1640995231,0
1640995232,0
1640995233,0
1640995234,0
1640995235,0
1640995236,0
1640995237,0
1640995238,0
1640995239,0
1640995240,0
1640995241,0
1640995242,0
1640995243,0
1640995244,0
1640995245,0
1640995246,0
1640995247,0
1640995248,0
1640995249,0
1640995250,0
1640995251,0
1640995252,0
1640995253,0
1640995254,0
1640995255,0
1640995256,0
1640995257,0
1640995258,0
1640995259,0
1640995260,0
1640995261,0
1640995262,0
1640995263,0
1640995264,0
1640995265,0
1640995266,0
1640995267,0
1640995268,0
1640995269,0
1640995270,0
1640995271,0
1640995272,0
1640995273,0
1640995274,0
1640995275,0
1640995276,0
1640995277,0
1640995278,0
1640995279,0
1640995280,0
1640995281,0
1640995282,0
1640995283,0
1640995284,0
1640995285,0
1640995286,0
1640995287,0
1640995288,0
1640995289,0
1640995290,0
1640995291,0
1640995292,0
1640995293,0
1640995294,0
1640995295,0
1640995296,0
1640995297,0
1640995298,0
1640995299,0
1640995300,0
1640995301,0
1640995302,0
1640995303,0
1640995304,0
1640995305,0
1640995306,0
1640995307,0
1640995308,0
1640995309,0
1640995310,0
1640995311,0
1640995312,0
1640995313,0
1640995314,0
1640995315,1
1640995316,1
1640995317,1
1640995318,1
1640995319,1
1640995320,1
1640995321,1
1640995322,1
1640995323,1
1640995324,1
1640995325,1
1640995326,1
1640995327,1
1640995328,1
1640995329,1
1640995330,1
1640995331,1
1640995332,1
1640995333,1
1640995334,1
1640995335,1
1640995336,1
1640995337,1
1640995338,1
1640995339,1
1640995340,912
1640995341,912
1640995342,912
1640995343,912
1640995344,912
